source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
5416: Batelco;(174: Cogent Communications, Inc.), (1299: Telia Carrier);20473: Choopa, LLC;0;56.207;290;Vultr;7.64;('JP', 418.07);('JP', 163);[141408, 141411, 141413, 141414, 141415, 141416, 141418, 141421, 141422, 141427, 141428, 141429, 141430, 141432, 141433, 141434, 141437, 141438, 141442, 203320, 203321, 203322, 203323, 203331, 203332, 203333, 203335, 203336, 203341, 203342, 203343, 203344, 203346, 203347, 203349, 203350, 203353, 203354, 203356, 203361, 266829, 266831, 266832, 266833, 266834, 266836, 266837, 266840, 266841, 266852, 266854, 266855, 266861, 266862, 266863, 266864, 266865, 266868, 266871, 266873, 330044, 330045, 330046, 330047, 330049, 330050, 330051, 330052, 330054, 330055, 330056, 330057, 330059, 330060, 330061, 330062, 330066, 330073, 330074, 330077, 330078, 330079, 330084, 330085, 330086, 378103, 378104, 378105, 378106, 378109, 378111, 378112, 378113, 378114, 378116, 378117, 378119, 378122, 378123, 378125, 378126, 378128, 378132, 378144, 378145, 446470, 446471, 446472, 446473, 446474, 446475, 446480, 446482, 446483, 446497, 446498, 446499, 446500, 446501, 446504, 446505, 446507, 446509, 446518, 446520, 446522, 446525, 515683, 515684, 515685, 515687, 515688, 515689, 515690, 515691, 515693, 515694, 515695, 515696, 515698, 515699, 515702, 515704, 515707, 515712, 515724, 515725, 515727, 515737, 515739, 515740, 515741, 515743, 515744, 585246, 606553, 619285, 619286, 619287, 619295, 673035, 673036, 673050]
5416: Batelco;(6453: Tata Communications), (1299: Telia Carrier);20473: Choopa, LLC;0;32.759;290;Vultr;10.32;('JP', 409.251);('JP', 95);[141406, 141407, 141409, 141410, 141417, 141419, 141420, 141424, 141426, 141431, 141436, 141439, 141440, 141441, 203324, 203326, 203330, 203334, 203337, 203339, 203340, 203348, 203351, 203352, 203355, 203357, 266835, 266839, 266843, 266844, 266845, 266848, 266851, 266853, 266856, 266857, 266858, 266860, 266866, 266867, 266874, 330058, 330063, 330065, 330068, 330069, 330070, 330076, 330080, 330081, 330087, 378107, 378108, 378120, 378121, 378124, 378133, 378134, 378136, 378138, 378139, 378141, 378142, 515697, 515700, 515706, 515708, 515709, 515710, 515711, 515713, 515715, 515721, 515723, 515726, 515729, 515731, 515732, 515733, 515734, 515735, 515738, 515742, 515745, 515746, 515747, 515748, 606556, 606560, 619288, 619290, 619292, 619293, 619297, 619299]
5416: Batelco;(15412: Global Cloud Xchange (f.k.a. FLAG Telecom)), (2914: NTT Global IP Network);20473: Choopa, LLC;0;5.172;290;Vultr;11.33;('JP', 386.5);('JP', 15);[446479, 446484, 446487, 446489, 446490, 446492, 446493, 446496, 446502, 446512, 446513, 446515, 446516, 446517, 446519]
5416: Batelco;(1299: Telia Carrier);20473: Choopa, LLC;0;1.724;290;Vultr;6.6;('JP', 477.556);('JP', 5);[203327, 330075, 383856, 446524, 515692]
5416: Batelco;(8781: Ooredoo Qatar formerly Qatar Telecom), (1299: Telia Carrier);20473: Choopa, LLC;0;1.724;290;Vultr;9.0;('JP', 362.889);('JP', 5);[673037, 673038, 673041, 673046, 673048]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW)), (1299: Telia Carrier);20473: Choopa, LLC;0;1.034;290;Vultr;9.0;('JP', 459.4);('JP', 3);[330072, 378115, 673049]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW)), (2914: NTT Global IP Network);20473: Choopa, LLC;0;0.69;290;Vultr;9.5;('JP', 379.25);('JP', 2);[266838, 378143]
5416: Batelco;(23860: Alliance Broadband Services Pvt Ltd), (9498: Bharti Airtel), (2914: NTT Global IP Network);20473: Choopa, LLC;0;0.345;290;Vultr;5.0;('JP', 125.5);('JP', 1);[448057]
5416: Batelco;(39273: Kalaam Telecom Bahrain), (5416: Batelco), (25019: Saudi Telecom Company (STC SAUDINET)), (2914: NTT Global IP Network);20473: Choopa, LLC;0;0.345;290;Vultr;12.0;('JP', 195.5);('JP', 1);[515722]
5416: Batelco;(6453: Tata Communications);31898: Oracle Cloud Infrastructure;0;42.499;1713;Oracle;11.06;('IN', 221.796),('KR', 358.036),('JP', 424.763);('JP', 300),('KR', 227),('IN', 201);[141754, 141755, 141760, 141761, 141762, 141765, 141767, 141773, 141775, 141776, 141777, 141778, 141779, 141780, 141782, 141783, 141784, 141785, 141786, 141787, 141788, 141789, 141791, 141793, 141794, 141795, 141797, 141799, 141802, 141804, 141805, 141806, 141807, 141809, 141813, 141815, 141816, 141817, 141819, 141820, 141823, 141825, 141826, 141829, 141846, 141851, 141853, 141857, 141868, 141869, 141874, 141880, 142017, 142018, 142021, 142027, 142030, 142049, 142051, 142135, 142136, 142139, 142141, 142142, 142145, 142146, 142147, 142148, 142149, 142151, 142153, 142154, 142156, 142157, 142158, 142159, 142161, 142162, 142163, 203712, 203718, 203722, 203729, 203739, 203744, 203748, 203753, 203755, 203756, 203767, 203769, 203770, 203778, 203780, 203782, 203783, 203784, 203786, 203787, 203792, 203795, 203798, 203799, 203800, 203801, 203807, 203812, 203818, 203827, 203828, 203831, 203839, 203844, 203845, 203846, 203847, 203849, 203850, 203851, 203855, 203858, 203917, 203920, 203921, 203923, 203925, 203926, 203928, 203931, 203935, 203936, 203937, 203940, 203941, 203942, 204015, 204016, 204017, 204018, 204019, 204020, 204022, 204023, 204024, 204025, 204026, 204027, 204029, 204030, 204031, 204032, 204033, 204034, 204035, 204036, 204038, 204039, 204040, 204041, 267480, 267489, 267503, 267504, 267509, 267525, 267528, 267531, 267543, 267583, 267586, 267596, 267597, 267598, 267604, 267605, 267606, 267607, 267608, 267609, 267610, 267611, 267612, 267613, 267614, 267615, 267616, 267617, 267618, 267619, 267620, 267622, 267623, 267624, 267625, 267626, 267627, 267628, 267629, 267630, 267631, 267632, 267633, 267637, 267645, 267649, 267654, 267664, 267665, 267674, 267679, 267680, 267681, 267694, 267697, 267700, 267702, 267715, 267721, 330719, 330739, 330740, 330743, 330756, 330765, 330767, 330776, 330790, 330791, 330795, 330796, 330797, 330798, 330799, 330802, 330803, 330804, 330805, 330807, 330809, 330810, 330811, 330814, 330815, 330816, 330817, 330818, 330819, 330820, 330821, 330822, 330825, 330827, 330828, 330829, 330830, 330904, 330908, 330915, 330916, 330917, 330919, 330922, 330923, 330924, 330926, 330934, 330936, 330937, 330942, 330945, 330955, 330959, 330960, 330976, 330978, 330987, 331043, 331047, 331048, 331050, 331052, 331053, 331054, 331057, 331060, 331061, 331062, 331063, 331064, 331065, 331066, 331067, 331068, 331117, 331118, 331119, 331120, 331121, 331122, 331124, 331125, 331126, 331127, 331128, 331129, 331130, 331131, 331132, 331133, 331134, 331135, 331136, 331137, 331138, 331139, 331141, 331142, 331143, 331144, 331145, 331146, 331147, 331148, 378862, 378866, 378867, 378872, 378875, 378880, 378901, 378929, 378962, 378973, 378975, 378980, 378987, 378988, 378995, 379003, 379010, 379023, 379027, 379029, 379032, 379111, 379113, 379115, 379117, 379122, 379123, 379124, 379126, 379127, 379128, 379130, 379132, 379133, 379134, 379135, 379136, 379138, 379139, 379140, 379141, 379142, 379143, 379145, 379146, 379147, 379149, 379150, 379151, 379152, 379154, 379208, 379212, 379218, 379219, 379220, 379221, 379222, 379223, 379224, 379230, 379232, 379236, 379237, 379238, 379240, 379242, 379244, 447323, 447324, 447326, 447328, 447329, 447331, 447332, 447334, 447335, 447336, 447338, 447339, 447340, 447341, 447342, 447343, 447345, 447346, 447347, 447348, 447351, 447352, 447353, 447354, 447356, 447358, 447360, 447361, 447362, 447363, 447366, 447367, 447369, 447371, 447372, 447374, 447375, 447376, 447377, 447378, 447380, 447381, 447382, 447384, 447386, 447388, 447389, 447407, 447408, 447411, 447412, 447420, 447421, 447422, 447423, 447424, 447425, 447426, 447427, 447428, 447429, 447430, 447431, 447433, 447434, 447435, 447436, 447438, 447439, 447440, 447441, 447442, 447447, 447448, 447449, 447450, 447451, 447452, 447453, 447456, 447457, 447461, 447462, 447463, 447464, 447467, 447468, 447471, 447472, 447474, 447476, 447477, 447482, 447488, 447493, 447496, 447504, 447505, 447506, 447509, 447512, 447513, 447517, 447518, 447521, 447530, 447532, 447533, 447534, 447544, 447545, 447547, 447548, 447549, 447551, 447552, 447553, 447554, 447556, 447557, 447562, 447563, 447564, 447567, 447569, 447570, 447571, 447572, 447574, 447575, 447576, 447577, 447578, 447579, 447580, 447582, 447583, 447584, 447632, 447633, 447634, 447635, 447637, 447639, 447640, 447641, 447642, 447643, 447645, 447646, 447647, 447648, 447649, 447650, 447651, 447652, 447654, 447655, 447656, 447657, 447658, 447659, 447660, 447661, 447662, 447663, 447664, 447669, 447671, 447672, 447673, 447674, 447675, 447677, 516346, 516417, 516420, 516450, 516451, 516455, 516456, 516457, 516458, 516461, 516462, 516463, 516464, 516466, 516469, 516470, 516471, 516472, 516473, 516474, 516475, 516478, 516479, 516481, 516482, 516483, 516484, 516485, 516487, 516491, 516492, 516494, 516495, 516496, 516497, 516498, 516499, 516500, 516502, 516504, 516506, 516508, 516509, 516512, 516513, 516514, 516515, 516517, 516519, 516520, 516521, 516523, 516524, 516525, 516526, 516645, 516647, 516648, 516649, 516652, 516653, 516654, 516655, 516656, 516657, 516658, 516659, 516660, 516661, 516662, 516664, 516666, 516667, 516668, 516669, 516670, 516671, 516672, 516673, 516674, 516675, 516676, 516677, 516678, 516679, 516680, 516681, 516682, 516683, 516684, 516686, 516687, 516688, 516689, 516690, 516691, 516692, 585282, 585288, 585293, 585298, 585299, 606651, 606656, 606662, 606665, 606673, 619457, 619458, 619459, 619460, 619461, 619462, 619475, 619476, 619477, 619478, 619479, 619480, 619483, 619484, 619485, 619486, 619487, 619488, 619489, 619494, 619495, 619496, 619498, 619508, 619510, 619514, 673299, 673300, 673302, 673304, 673306, 673308, 673309, 673311, 673314, 673315, 673317, 673318, 673319, 673324, 673326, 673328, 673329, 673332, 673370, 673372, 673380, 673402, 673403, 673404, 673405, 673406, 673407, 673408, 673410, 673411]
